clip_id,your_label,auto_label,confidence,text_model_label,text_conf,acoustic_label,acoustic_conf,word_count,transcript
clip_1203,Frustrated,Frustrated,0.496,Frustrated,0.8267,High Stress,0.7,78,"Stay out, stay out, stay out! Fuck! Fuck! Why not the Pate? Come on, let's go to... Get on! Why? Mind if I know where Ease and Healer are? No! I am fucking stupid! There's nothing to separate these two cars round the outside. Go show Leclerc! You don't overtake there round the outside and that's why Leclerc goes off into the gravel! Come on, let's go to... Got a fucking Ferrari! You can see the Scarlet Ferrari!"
clip_1205,Frustrated,Frustrated,0.4141,Frustrated,0.6901,High Stress,0.7,38,"What the hell? Come down! Magnet and Rho is a real USB stupid. No! Ah no, come on Charles. I'm sorry, I'm sorry. Okay. I did mistakes. Come on Charles. So that's the end of the live frame. 31.80"
clip_1206,Frustrated,Frustrated,0.4928,Frustrated,0.8213,High Stress,0.7,72,"4 and yourself 31.86 Come on! Stupid! Stupid! It was a good recover from the FB3 and all the issues Yeah but not good enough Not good enough Not good enough for me on my side Not speaking about the car, the car was good I should have not been so aggressive Tomorrow it's a race I am stupid I am stupid I'm a huge operator I'm stupid What the hell is that? Ah, no!"
clip_1207,Frustrated,Calm,0.26,Frustrated,0.3253,Calm,0.65,43,"Oh, come on Charles! Who is the Afton Martin? Around you, or before, stroll. I'll address in the middle of the corner as always. Mode slow, and target zero. Charge, turn on. Love. I'm waiting for the other cars to finish. Forever. Class."
clip_1209,Frustrated,Frustrated,0.5444,Frustrated,0.9074,High Stress,0.7,55,"I did a s*** job, I did a s*** job! I did a s*** job, I did a s*** job, that's it! I did a s*** job! Quirlochano, what the f*** is that? Quirlochano, I am such a little f***ing f***ing stupid! I did mistakes! Come on Charles! Charles! Come on! Stupid! Stupid!"
clip_1210,High Stress,Frustrated,0.4908,Frustrated,0.818,High Stress,0.75,100,"So that is a great effort to take the step forward when it matters. What about the world champion though clinging on to track limits through turn 19? Can Max Estab and fight his way to the front row? Can he fight his way to pole position? He can! By five thousands of a second! So first up in that time 34.71 For f*** sake! For f*** sake! For Stappen's time is deleted for track limits at turn 19. We said he was hanging on to it! For Stappen will fall down to fifth! Okay, in playback. Now that time is deleted for..."
clip_1211,Frustrated,Calm,0.4365,Calm,0.7274,High Stress,0.7,50,"Limits at 19 would have been P1, it is P6. So lap time deleted for first time? Tell me the name before. First time, lap time deleted. First time, lap time deleted. Yeah, we want our other half attack in the time. Yeah, okay. And then on G4, Mr Russell. Ah, I am stupid."
clip_1212,Frustrated,High Stress,0.4594,High Stress,0.2991,High Stress,0.7,55,"Oh, so the Claire's gone out and the Claire has gone into the barriers of the penultimate turn! No! The folks... Ah, no, come on Charles. I'm sorry, I'm sorry. Yeah, these are the people who are going to be the first to leave the house. These guys are first staying completely in the middle."
clip_1213,High Stress,High Stress,0.28,Frustrated,0.3479,High Stress,0.7,61,"There are people like these on trucks. And brake balance plus one. If you are with this, if you try to do it with this, you must not pass that part. Come on, they are being ridiculous. Oh, whoa! A show of Claire! He goes into the barrier, and the barrier is the altar, now he's kept the car going. Ah!"
clip_1214,Frustrated,Calm,0.4324,Calm,0.7207,High Stress,0.7,53,"We will pitch with the car is hot gain speed and lift off please. Yeah, yeah, that's what I'm doing. But anyway. I'm in front of the airport. There's something strapped with the engine. Okay, copy that. We are taking it. There's some friction with the engine. What's happening? Yes, whatever you want."
clip_1215,Frustrated,Frustrated,0.3579,Frustrated,0.5966,High Stress,0.7,68,"That's always... Shout out to your job. Okay, thank you. Yeah, yeah. Yeah, I did my job, but... Speak out all the fucking time, all the fucking time. It's not even being nice, it's just being respectful. I mean, I'm going to shut up, but... At one point it's always the same, so... Oh my fucking god. Okay. But anyway, use it the right thing for the team."
